"","month","cor.min.mean","cor.min.min","cor.min.max"
"1",1,0.982220148614582,0.80263146675658,0.997803101074399
"2",2,0.975502102468678,0.841779278220781,0.996788047443742
"3",3,0.965401713131131,0.857063614417382,0.990817079158666
"4",4,0.957108509736891,0.842241264712721,0.980302818658713
"5",5,0.940284448155099,0.804734233796407,0.984729481362451
"6",6,0.922713305511827,0.859021600305816,0.986681864811196
"7",7,0.93847650419887,0.764569931432334,0.988697691314636
"8",8,0.934830999140297,0.824808170472176,0.981579330464506
"9",9,0.907029791390489,0.748433798662795,0.967433090703912
"10",10,0.928903849634373,0.74274553390739,0.987952752728878
"11",11,0.967775756150295,0.904102150625469,0.994329600837125
"12",12,0.983322194728769,0.859088976465935,0.997702331717634
