"","year","deaths.attributable.median","deaths.attributable.mean","deaths.attributable.ll","deaths.attributable.ul"
"1",1980,5.58705289856742,5.71433193270821,-3.05279263195077,14.498705083501
"2",1981,12.7188673968062,12.9330113078841,-5.96903106452133,32.8763428890238
"3",1982,0,0,0,0
"4",1983,-0.0279085376379204,0.0397329510383713,-4.94468037087424,4.68847099635798
"5",1984,13.6096805069864,13.6651082654903,-16.4413040986011,46.0089709330718
"6",1985,4.81729613760467,4.81496443732498,-1.4136267179681,11.7146779583969
"7",1986,2.88334014709889,2.91126661473549,-0.590411512423071,6.90026980451278
"8",1987,0.47760471393682,0.482736851431174,-0.0952763005943333,1.18206449982041
"9",1988,2.66796292368903,2.72874196949646,-1.4577878004062,6.92350838743637
"10",1989,15.1251490873721,14.8971557489462,-9.7241481587482,38.8455107130223
"11",1990,10.2936480489844,10.4042592208684,-2.05345692181976,25.4766244496483
"12",1991,0,0,0,0
"13",1992,-0.0464129842207482,0.0660774438816172,-8.22319589107394,7.79710973023999
"14",1993,5.97023522645749,5.99455003356653,-7.21239950107418,20.1830144988838
"15",1994,32.9079376727377,34.47761605121,-24.4535448733221,96.760698547179
"16",1995,10.0624722357651,10.668362109211,-33.0242438012991,56.1028400278993
"17",1996,36.4465325674193,36.1849583593398,-13.6464304782503,86.1601888893315
"18",1997,19.1579559620423,18.7335460882755,-26.6763740812262,64.6650908082945
"19",1998,2.5049459661764,2.71063081444119,-12.1222108329252,18.3228467047498
"20",1999,0,0,0,0
"21",2000,33.5485808552033,32.9225551222278,-27.5171963116219,91.2855543111866
"22",2001,29.6697246159966,29.6441863694892,-42.3352614949518,98.2821235399813
"23",2002,37.1604762043359,38.023457159836,-10.7253076502583,92.499398617992
"24",2003,34.301276137133,33.7555432320722,-26.9352972127391,96.2718082268551
"25",2004,13.9396887262748,13.9207625608502,-13.448466519465,43.7489555754993
"26",2005,35.1525018741078,35.3130061943934,-22.5419025501596,93.7738066262735
"27",2006,75.6143347436569,75.0089038837645,-12.2887165692493,167.598342471799
"28",2007,42.2958986616103,41.998016799799,-28.2469024368265,115.940461250104
"29",2008,20.3715042961193,21.0733508272409,-13.016730002297,57.2169508986044
"30",2009,69.8536721243613,67.3456338353662,-55.2701842324772,187.127030877827
"31",2010,24.856500112902,25.2426825978766,-52.9071488715459,103.256284615843
"32",2011,20.6073815820041,22.174590269297,-75.1062175037488,123.853801516178
"33",2012,55.1729132493508,55.6858955475373,-25.1973682373001,143.147212895229
"34",2013,55.7247470365289,56.2222718348397,-9.1314179659501,130.916866787663
"35",2014,35.0436814533435,35.5429164593634,-5.72503254121671,84.832462389459
"36",2015,37.1699789485651,38.2524695189904,-41.7887061509734,125.969266138643
"37",2016,76.7578146894672,76.8384171979088,-12.7434181100024,173.340812259306
"38",2017,52.6280924538165,53.2215476554469,-15.0159970073806,129.528911514716
